AMPLITUDE,,,,,,AMPLITUDE,,,,,,AMPLITUDE,,,,,,AMPLITUDE,,,,,,,,,,,PHASE,,,,,,PHASE,,,,,,PHASE,,,,,,PHASE,,,,,,,,,,,,,,,,,,,,
Frequency(Hz),Gen,R,L,C,,Frequency(Hz),Gen,R,L,C,,Frequency(Hz),Gen(V),R,L,C,,Frequency(Hz),Gen(V),R,L,C,, σ_gen,σ_R,σ_L,σ_C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.477,3.175,0.336,3.944,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39998.477,3.175,0.336,3.944,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.933,0.283,5.253,1.015,4.642,,,,,,,,,,,,,,,,,,,,,,,,,39998.933,0.283,5.253,1.015,4.642,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.82,3.189,0.336,3.965,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.82,3.189,0.336,3.965,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.567,0.279,5.252,1.011,4.64,,,,,,,,,,,,,,,,,,,,,,,,,39998.567,0.279,5.252,1.011,4.64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.933,3.188,0.336,3.965,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.933,3.188,0.336,3.965,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.208,0.293,5.26,1.027,4.649,,,,,,,,,,,,,,,,,,,,,,,,,39999.208,0.293,5.26,1.027,4.649,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.567,3.184,0.336,3.957,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.567,3.184,0.336,3.957,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.022,0.284,5.253,1.017,4.643,,,,,,,,,,,,,,,,,,,,,,,,,39998.022,0.284,5.253,1.017,4.643,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.208,3.199,0.336,3.981,0.724,,,,,,,,,,,,,,,,,,,,,,,,,39999.208,3.199,0.336,3.981,0.724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.598,0.274,5.249,1.005,4.637,,,,,,,,,,,,,,,,,,,,,,,,,39998.598,0.274,5.249,1.005,4.637,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.022,3.186,0.336,3.961,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.022,3.186,0.336,3.961,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.912,0.28,5.252,1.011,4.64,,,,,,,,,,,,,,,,,,,,,,,,,39998.912,0.28,5.252,1.011,4.64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.598,3.179,0.336,3.952,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39998.598,3.179,0.336,3.952,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.181,0.293,5.259,1.025,4.648,,,,,,,,,,,,,,,,,,,,,,,,,39999.181,0.293,5.259,1.025,4.648,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.912,3.186,0.336,3.96,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.912,3.186,0.336,3.96,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.056,0.286,5.254,1.017,4.643,,,,,,,,,,,,,,,,,,,,,,,,,39999.056,0.286,5.254,1.017,4.643,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.181,3.199,0.336,3.98,0.724,,,,,,,,,,,,,,,,,,,,,,,,,39999.181,3.199,0.336,3.98,0.724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.959,0.267,5.246,0.999,4.634,,,,,,,,,,,,,,,,,,,,,,,,,39998.959,0.267,5.246,0.999,4.634,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.056,3.191,0.336,3.968,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.056,3.191,0.336,3.968,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.609,0.273,5.248,1.002,4.636,,,,,,,,,,,,,,,,,,,,,,,,,39998.609,0.273,5.248,1.002,4.636,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.959,3.175,0.336,3.943,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39998.959,3.175,0.336,3.943,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.484,0.276,5.25,1.01,4.639,,,,,,,,,,,,,,,,,,,,,,,,,39998.484,0.276,5.25,1.01,4.639,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.609,3.179,0.336,3.949,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39998.609,3.179,0.336,3.949,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.563,0.271,5.248,1.003,4.636,,,,,,,,,,,,,,,,,,,,,,,,,39998.563,0.271,5.248,1.003,4.636,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.484,3.181,0.336,3.954,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.484,3.181,0.336,3.954,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.042,0.284,5.253,1.017,4.642,,,,,,,,,,,,,,,,,,,,,,,,,39999.042,0.284,5.253,1.017,4.642,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.563,3.177,0.336,3.949,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39998.563,3.177,0.336,3.949,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.447,0.294,5.26,1.027,4.649,,,,,,,,,,,,,,,,,,,,,,,,,39998.447,0.294,5.26,1.027,4.649,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.042,3.19,0.336,3.967,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.042,3.19,0.336,3.967,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39997.396,0.272,5.248,1.005,4.637,,,,,,,,,,,,,,,,,,,,,,,,,39997.396,0.272,5.248,1.005,4.637,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.447,3.197,0.336,3.978,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39998.447,3.197,0.336,3.978,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.037,0.286,5.254,1.019,4.644,,,,,,,,,,,,,,,,,,,,,,,,,39999.037,0.286,5.254,1.019,4.644,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39997.396,3.174,0.336,3.943,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39997.396,3.174,0.336,3.943,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.682,0.265,5.245,0.997,4.634,,,,,,,,,,,,,,,,,,,,,,,,,39998.682,0.265,5.245,0.997,4.634,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.037,3.192,0.336,3.969,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.037,3.192,0.336,3.969,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.18,0.29,5.257,1.024,4.647,,,,,,,,,,,,,,,,,,,,,,,,,39999.18,0.29,5.257,1.024,4.647,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.682,3.172,0.336,3.94,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39998.682,3.172,0.336,3.94,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.348,0.288,5.255,1.019,4.644,,,,,,,,,,,,,,,,,,,,,,,,,39998.348,0.288,5.255,1.019,4.644,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.18,3.197,0.336,3.977,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.18,3.197,0.336,3.977,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.408,0.291,5.258,1.025,4.648,,,,,,,,,,,,,,,,,,,,,,,,,39999.408,0.291,5.258,1.025,4.648,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.348,3.191,0.336,3.968,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39998.348,3.191,0.336,3.968,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.603,0.293,5.259,1.025,4.648,,,,,,,,,,,,,,,,,,,,,,,,,39998.603,0.293,5.259,1.025,4.648,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.408,3.198,0.336,3.98,0.724,,,,,,,,,,,,,,,,,,,,,,,,,39999.408,3.198,0.336,3.98,0.724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.791,0.277,5.251,1.009,4.639,,,,,,,,,,,,,,,,,,,,,,,,,39998.791,0.277,5.251,1.009,4.639,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.603,3.197,0.336,3.977,0.724,,,,,,,,,,,,,,,,,,,,,,,,,39998.603,3.197,0.336,3.977,0.724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.207,0.288,5.256,1.022,4.645,,,,,,,,,,,,,,,,,,,,,,,,,39999.207,0.288,5.256,1.022,4.645,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.791,3.183,0.336,3.957,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.791,3.183,0.336,3.957,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39997.984,0.276,5.249,1.008,4.638,,,,,,,,,,,,,,,,,,,,,,,,,39997.984,0.276,5.249,1.008,4.638,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.207,3.195,0.336,3.973,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.207,3.195,0.336,3.973,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.879,0.28,5.252,1.012,4.64,,,,,,,,,,,,,,,,,,,,,,,,,39998.879,0.28,5.252,1.012,4.64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39997.984,3.178,0.336,3.95,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39997.984,3.178,0.336,3.95,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.891,0.283,5.253,1.013,4.641,,,,,,,,,,,,,,,,,,,,,,,,,39998.891,0.283,5.253,1.013,4.641,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.879,3.185,0.336,3.96,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.879,3.185,0.336,3.96,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.173,0.29,5.257,1.023,4.646,,,,,,,,,,,,,,,,,,,,,,,,,39999.173,0.29,5.257,1.023,4.646,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.891,3.188,0.336,3.962,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.891,3.188,0.336,3.962,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.081,0.285,5.254,1.016,4.643,,,,,,,,,,,,,,,,,,,,,,,,,39999.081,0.285,5.254,1.016,4.643,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.173,3.196,0.336,3.976,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.173,3.196,0.336,3.976,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.915,0.274,5.25,1.006,4.637,,,,,,,,,,,,,,,,,,,,,,,,,39998.915,0.274,5.25,1.006,4.637,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.081,3.191,0.336,3.968,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.081,3.191,0.336,3.968,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.236,0.287,5.255,1.02,4.645,,,,,,,,,,,,,,,,,,,,,,,,,39999.236,0.287,5.255,1.02,4.645,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.915,3.181,0.336,3.953,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.915,3.181,0.336,3.953,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39997.726,0.282,5.253,1.013,4.641,,,,,,,,,,,,,,,,,,,,,,,,,39997.726,0.282,5.253,1.013,4.641,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.236,3.194,0.336,3.972,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.236,3.194,0.336,3.972,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.516,0.268,5.246,1,4.635,,,,,,,,,,,,,,,,,,,,,,,,,39998.516,0.268,5.246,1,4.635,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39997.726,3.184,0.336,3.958,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39997.726,3.184,0.336,3.958,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.051,0.27,5.248,1.001,4.635,,,,,,,,,,,,,,,,,,,,,,,,,39998.051,0.27,5.248,1.001,4.635,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.516,3.174,0.336,3.943,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39998.516,3.174,0.336,3.943,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.171,0.29,5.257,1.022,4.646,,,,,,,,,,,,,,,,,,,,,,,,,39999.171,0.29,5.257,1.022,4.646,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.051,3.174,0.336,3.943,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39998.051,3.174,0.336,3.943,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.496,0.273,5.248,1.004,4.637,,,,,,,,,,,,,,,,,,,,,,,,,39998.496,0.273,5.248,1.004,4.637,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.171,3.196,0.336,3.976,0.724,,,,,,,,,,,,,,,,,,,,,,,,,39999.171,3.196,0.336,3.976,0.724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.911,0.278,5.251,1.011,4.639,,,,,,,,,,,,,,,,,,,,,,,,,39998.911,0.278,5.251,1.011,4.639,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.496,3.179,0.336,3.95,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.496,3.179,0.336,3.95,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.784,0.274,5.249,1.006,4.637,,,,,,,,,,,,,,,,,,,,,,,,,39998.784,0.274,5.249,1.006,4.637,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.911,3.184,0.336,3.958,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.911,3.184,0.336,3.958,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.287,0.288,5.256,1.021,4.645,,,,,,,,,,,,,,,,,,,,,,,,,39999.287,0.288,5.256,1.021,4.645,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.784,3.18,0.336,3.953,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.784,3.18,0.336,3.953,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.219,0.265,5.246,0.997,4.633,,,,,,,,,,,,,,,,,,,,,,,,,39998.219,0.265,5.246,0.997,4.633,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.287,3.194,0.336,3.973,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.287,3.194,0.336,3.973,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.034,0.279,5.252,1.011,4.64,,,,,,,,,,,,,,,,,,,,,,,,,39999.034,0.279,5.252,1.011,4.64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.219,3.171,0.336,3.939,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39998.219,3.171,0.336,3.939,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.198,0.285,5.254,1.018,4.643,,,,,,,,,,,,,,,,,,,,,,,,,39999.198,0.285,5.254,1.018,4.643,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.034,3.186,0.336,3.96,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39999.034,3.186,0.336,3.96,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.206,0.293,5.258,1.025,4.648,,,,,,,,,,,,,,,,,,,,,,,,,39999.206,0.293,5.258,1.025,4.648,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.198,3.192,0.336,3.969,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.198,3.192,0.336,3.969,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.115,0.291,5.258,1.024,4.647,,,,,,,,,,,,,,,,,,,,,,,,,39999.115,0.291,5.258,1.024,4.647,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.206,3.199,0.336,3.98,0.724,,,,,,,,,,,,,,,,,,,,,,,,,39999.206,3.199,0.336,3.98,0.724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.793,0.282,5.253,1.014,4.641,,,,,,,,,,,,,,,,,,,,,,,,,39998.793,0.282,5.253,1.014,4.641,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.115,3.197,0.336,3.978,0.724,,,,,,,,,,,,,,,,,,,,,,,,,39999.115,3.197,0.336,3.978,0.724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.222,0.289,5.257,1.022,4.646,,,,,,,,,,,,,,,,,,,,,,,,,39999.222,0.289,5.257,1.022,4.646,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.793,3.187,0.336,3.963,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.793,3.187,0.336,3.963,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.997,0.279,5.25,1.011,4.64,,,,,,,,,,,,,,,,,,,,,,,,,39998.997,0.279,5.25,1.011,4.64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.222,3.195,0.336,3.975,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.222,3.195,0.336,3.975,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.202,0.277,5.251,1.008,4.639,,,,,,,,,,,,,,,,,,,,,,,,,39998.202,0.277,5.251,1.008,4.639,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.997,3.185,0.336,3.96,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.997,3.185,0.336,3.96,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.935,0.279,5.251,1.011,4.64,,,,,,,,,,,,,,,,,,,,,,,,,39998.935,0.279,5.251,1.011,4.64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.202,3.181,0.336,3.953,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.202,3.181,0.336,3.953,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.982,0.275,5.249,1.007,4.638,,,,,,,,,,,,,,,,,,,,,,,,,39998.982,0.275,5.249,1.007,4.638,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.935,3.185,0.336,3.96,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.935,3.185,0.336,3.96,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.263,0.28,5.252,1.011,4.64,,,,,,,,,,,,,,,,,,,,,,,,,39999.263,0.28,5.252,1.011,4.64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.982,3.182,0.336,3.954,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.982,3.182,0.336,3.954,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.517,0.271,5.248,1.004,4.636,,,,,,,,,,,,,,,,,,,,,,,,,39998.517,0.271,5.248,1.004,4.636,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.263,3.187,0.336,3.961,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.263,3.187,0.336,3.961,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.491,0.278,5.251,1.012,4.64,,,,,,,,,,,,,,,,,,,,,,,,,39998.491,0.278,5.251,1.012,4.64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.517,3.177,0.336,3.948,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.517,3.177,0.336,3.948,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39997.829,0.264,5.247,0.999,4.634,,,,,,,,,,,,,,,,,,,,,,,,,39997.829,0.264,5.247,0.999,4.634,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.491,3.182,0.336,3.958,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.491,3.182,0.336,3.958,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.237,0.289,5.257,1.023,4.646,,,,,,,,,,,,,,,,,,,,,,,,,39999.237,0.289,5.257,1.023,4.646,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39997.829,3.17,0.336,3.939,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39997.829,3.17,0.336,3.939,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.758,0.269,5.247,1.001,4.635,,,,,,,,,,,,,,,,,,,,,,,,,39998.758,0.269,5.247,1.001,4.635,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.237,3.196,0.336,3.976,0.724,,,,,,,,,,,,,,,,,,,,,,,,,39999.237,3.196,0.336,3.976,0.724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.231,0.29,5.258,1.023,4.647,,,,,,,,,,,,,,,,,,,,,,,,,39999.231,0.29,5.258,1.023,4.647,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.758,3.176,0.336,3.947,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.758,3.176,0.336,3.947,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.411,0.285,5.253,1.016,4.642,,,,,,,,,,,,,,,,,,,,,,,,,39998.411,0.285,5.253,1.016,4.642,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.231,3.197,0.336,3.976,0.724,,,,,,,,,,,,,,,,,,,,,,,,,39999.231,3.197,0.336,3.976,0.724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.695,0.283,5.253,1.014,4.642,,,,,,,,,,,,,,,,,,,,,,,,,39998.695,0.283,5.253,1.014,4.642,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.411,3.188,0.336,3.964,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39998.411,3.188,0.336,3.964,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.93,0.282,5.253,1.014,4.641,,,,,,,,,,,,,,,,,,,,,,,,,39998.93,0.282,5.253,1.014,4.641,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.695,3.187,0.336,3.962,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39998.695,3.187,0.336,3.962,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.109,0.285,5.254,1.017,4.643,,,,,,,,,,,,,,,,,,,,,,,,,39999.109,0.285,5.254,1.017,4.643,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.93,3.188,0.336,3.964,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39998.93,3.188,0.336,3.964,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.074,0.292,5.258,1.024,4.647,,,,,,,,,,,,,,,,,,,,,,,,,39999.074,0.292,5.258,1.024,4.647,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.109,3.191,0.336,3.968,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.109,3.191,0.336,3.968,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.737,0.29,5.257,1.023,4.646,,,,,,,,,,,,,,,,,,,,,,,,,39998.737,0.29,5.257,1.023,4.646,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.074,3.198,0.336,3.978,0.724,,,,,,,,,,,,,,,,,,,,,,,,,39999.074,3.198,0.336,3.978,0.724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.799,0.268,5.247,1.001,4.635,,,,,,,,,,,,,,,,,,,,,,,,,39998.799,0.268,5.247,1.001,4.635,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.737,3.194,0.336,3.973,0.724,,,,,,,,,,,,,,,,,,,,,,,,,39998.737,3.194,0.336,3.973,0.724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.859,0.293,5.259,1.026,4.648,,,,,,,,,,,,,,,,,,,,,,,,,39998.859,0.293,5.259,1.026,4.648,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.799,3.175,0.336,3.944,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.799,3.175,0.336,3.944,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.865,0.275,5.25,1.006,4.637,,,,,,,,,,,,,,,,,,,,,,,,,39998.865,0.275,5.25,1.006,4.637,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.859,3.198,0.336,3.977,0.724,,,,,,,,,,,,,,,,,,,,,,,,,39998.859,3.198,0.336,3.977,0.724,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.049,0.278,5.251,1.01,4.64,,,,,,,,,,,,,,,,,,,,,,,,,39999.049,0.278,5.251,1.01,4.64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.865,3.182,0.336,3.954,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.865,3.182,0.336,3.954,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.141,0.281,5.252,1.013,4.641,,,,,,,,,,,,,,,,,,,,,,,,,39999.141,0.281,5.252,1.013,4.641,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.049,3.185,0.336,3.959,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39999.049,3.185,0.336,3.959,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.989,0.286,5.255,1.019,4.644,,,,,,,,,,,,,,,,,,,,,,,,,39998.989,0.286,5.255,1.019,4.644,,,,,,,,,,,,,,,,
